"EisaiShishoka_ID","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairiten_CD","JissekiShukeiKaiso","KozaDairiten_CD","Shishoka_CD","JissekiShukeiName_KJ","JissekiShukeiName_RKJ","JissekiShukeiName_KN","Jusho_CD","Jusho_KJ","Jusho_KJ_Clean","JushoBanchi_KJ","JushoBanchi_KN","TEL_NO","JissekiShukeiPrint_CD","ShiryoHaisoSaki_CD","HansokuShiten_CD","KuriniKai_KBN","KuriniKaiHenko_FLG","IyakuSo_KBN","Oncology_Mitoroku_Site","Hokatu_Mitoroku_Site","I_MitorokuShiten_CD","Yaku_MitorokuShiten_CD","Data_Status"
"41","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","11111","0000000000","02003","000","代理店計","代理店計","","","","","","","","","","48","X","","3","","","","","9"
"42","05/20/2021 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg36186","05/20/2021 14:44:10","PVU_XP_1302","01889","0000000000","01889","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","01104048004","北海道札幌市白石区栄通４丁目３－１","","","","","900","","48","","","3","69","69","","16","12"
"44","04/01/2013 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","01029","0000000000","01029","000","代理店計","代理店計","","","","","","","","","","48","","","3","","","","","9"
"45","05/07/2024 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg45886","02/10/2026 14:33:24","PVU_XP_1302","01020","0000008000","01020","000","ヘルスケア","ＨＣ計","ﾍﾙｽｹｱ TOTAL","01000","北海道","","","","","800","","48","","","2","69","69","","16","10"
"48","05/07/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg45886","02/10/2026 14:33:24","PVU_XP_1302","01020","0000001011","01020","000","道央地区","道央","ﾄﾞｳｵｳﾁｸ ﾄ-ﾀﾙ","01100","北海道札幌市","","","","","120","","48","","","1","69","69","","16","10"
"49","05/07/2024 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg45886","02/10/2026 14:33:24","PVU_XP_1302","01020","0000000000","01020","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝ ｹｲ","01000","北海道","","","","","000","","48","X","","3","69","69","","16","10"
"50","05/07/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg45886","02/10/2026 14:33:24","PVU_XP_1302","01020","0000001010","01020","000","札幌地区","札幌","ｻﾂﾎﾟﾛﾁｸ ﾄ-ﾀﾙ","01100","北海道札幌市","","","","","110","","48","","","1","69","69","","16","10"
"51","09/16/2025 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg39895","10/09/2025 11:24:37","PVU_XP_1302","01005","0000000000","01005","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","01000","北海道","","","","","000","","48","X","","3","69","69","","16","10"
"53","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000000000","01003","000","代理店","代理店","ﾀﾞｲﾘﾃﾝ","01101","北海道札幌市中央区北５条西１５丁目","","","","","000","","48","X","","3","69","69","","16","10"
"58","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000000000","01001","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","01000","北海道","","","","","000","","48","X","","3","69","69","","16","10"
"61","10/04/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg09704","03/29/2018 18:50:00","803001","itg36186","10/04/2018 08:28:19","PVU_XP_1302","13149","0000000000","04002","000","代理店計（廃止）","代理店計廃","ﾀﾞｲﾘﾃﾝｹｲ(ﾊｲｼ)","04000000000","宮城県","","","","","999","","48","X","","3","69","69","","16","12"
"63","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000001017","04001","000","本社計","本社計","ﾎﾝｼﾔｹｲ","04000","宮城県","","","","","830","","48","","","3","69","69","","16","10"
"78","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","11111","0000000000","04004","000","代理店計","代理店計","","","","","","","","","","48","X","","3","","","","","9"
"79","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","11111","0000001000","04004","000","宮城県計","宮城県計","ﾐﾔｷﾞｹﾝ ｹｲ","","","","","","","100","","48","","","1","","","","","9"
"81","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","04019","0000000000","04019","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","","","","","","","002","","48","","","1","","","","","9"
"82","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","04020","0000000000","04020","000","代理店計","代理店計","","","","","","","","","","48","","","1","","","","","9"
"83","01/10/2024 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg46273","07/22/2025 10:40:40","PVU_XP_1302","27070","0000000000","04030","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","04000","宮城県","","","","","000","","48","","","2","69","69","","16","10"
"98","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000000000","04504","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","04000","宮城県","","","","","000","","48","","","3","69","69","","16","10"
"99","10/04/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg09704","03/29/2018 18:50:00","803001","itg36186","10/04/2018 08:28:19","PVU_XP_1302","13149","0000000000","05003","000","代理店計（廃止）","代理店計廃","ﾀﾞｲﾘﾃﾝｹｲ(ﾊｲｼ)","05000000000","秋田県","","","","","999","","48","X","","3","69","69","","16","12"
"100","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000000000","05007","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝ ｹｲ","05000","秋田県","","","","","400","","48","","","3","69","69","","16","10"
"101","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000001000","05007","000","秋田営業部","秋田営業部","ｱｷﾀｴｲｷﾞﾖｳﾌﾞ","05201","秋田県秋田市泉","","","","","300","","48","","","1","69","69","","16","10"
"105","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","11111","0000000000","06002","000","山形・秋田営業部計","山形・秋田","ﾔﾏｶﾞﾀ･ｱｷﾀｴｲｷﾞﾖｳﾌﾞｹｲ","","","","","","","200","","48","X","","3","","","","","9"
"109","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","11111","0000001100","06002","000","山形県計","山形県計","ﾔﾏｶﾞﾀｹﾝｹｲ","","","","","","","100","","48","X","","3","","","","","9"
"110","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000000000","06010","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝ ｹｲ","06000","山形県","","","","","400","","48","","","3","69","69","","16","10"
"111","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000001000","06010","000","山形営業部","山形営業部","ﾔﾏｶﾞﾀｴｲｷﾞﾖｳﾌﾞ","06201","山形県山形市","","","","","300","","48","","","3","69","69","","16","10"
"112","10/02/2024 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg46273","03/31/2026 10:20:24","PVU_XP_1302","15003","0000000000","06007","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","06000","山形県","","","","","405","","48","","","3","69","69","","16","10"
"113","10/02/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg46273","03/31/2026 10:20:24","PVU_XP_1302","15003","0000001000","06007","000","山形県","山形","ﾔﾏｶﾞﾀｹﾝ","06000","山形県","","","","","100","","48","","","3","69","69","","16","10"
"114","10/02/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg46273","03/31/2026 10:20:24","PVU_XP_1302","15003","0000001010","06007","000","山形支店","山形","ﾔﾏｶﾞﾀﾃﾝ ｹｲ","06201","山形県山形市","","","","","300","","48","","","1","69","69","","16","10"
"115","10/02/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg46273","03/31/2026 10:20:24","PVU_XP_1302","15003","0000001100","06007","000","秋田県","秋田","ｱｷﾀｹﾝ","05000","秋田県","","","","","210","","48","","","3","69","69","","16","10"
"118","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","11111","0000000000","07001","000","代理店計","代理店計","","","","","","","","","","48","X","","3","","","","","9"
"119","04/01/2016 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","11111","0000001000","07001","000","福島県計","福島県計","ﾌｸｼﾏｹﾝ ｹｲ","","","","","","","100","","48","","","3","","","","","9"
"121","04/01/2026 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg36186","03/05/2026 14:34:04","PVU_XP_1302","13149","0000000000","07004","000","東北アルフレッサ本社","東北Ａ本社","ﾄｳﾎｸｱﾙﾌﾚｯｻ ﾎﾝｼｬ","07203","福島県郡山市喜久田町卸１丁目４６－１","","","","024-959-6611","000","","48","X","","1","69","69","","16","10"
"137","10/04/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg09704","03/29/2018 18:50:00","803001","itg36186","10/04/2018 08:28:19","PVU_XP_1302","13149","0000000000","07020","000","代理店計（廃止）","代理店計廃","ﾀﾞｲﾘﾃﾝｹｲ(ﾊｲｼ)","07000000000","福島県","","","","","999","","48","X","","3","69","69","","16","12"
"138","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000000000","07022","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝ ｹｲ","07000","福島県","","","","","400","","48","","","3","69","69","","16","10"
"139","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000001000","07022","000","福島営業部","福島営業部","ﾌｸｼﾏｴｲｷﾞﾖｳﾌﾞ","07201","福島県福島市","","","","","300","","48","","","3","69","69","","16","10"
"142","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000000000","07025","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","07000","福島県","","","","","200","","48","X","","3","69","69","","16","10"
"143","04/01/2017 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/29/2018 18:50:00","803001","itg36186","03/29/2018 18:50:00","803001","12001","0000000000","08007","000","水戸営業所（廃止）","水戸廃止","ﾐﾄ ｴｲｷﾞﾖｳｼﾖ(ﾊｲｼ)","08201118000","茨城県水戸市吉沢町","","","","","000","","51","X","","1","69","69","","16","9"
"144","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000000000","08010","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","08000","茨城県","","","","","000","","51","X","","3","69","69","","16","10"
"145","11/01/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 15:38:22","PVU_XP_1302","09003","0000000000","09003","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","09000","栃木県","","","","","000","","51","X","","1","69","69","","16","10"
"146","11/01/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg45886","03/27/2026 15:38:22","PVU_XP_1302","09003","0000009999","09003","099","ナカノ薬品その他","ナカその他","ﾅｶﾉﾔｸﾋﾝ ｿﾉﾀ","09202","栃木県足利市羽刈町７６３－１２","","","","","900","","51","","","3","69","69","","16","10"
"147","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000000000","09012","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","09000","栃木県","","","","","000","","51","","","1","69","69","","16","10"
"148","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000000000","09013","000","代理店計","代理店","ﾀﾞｲﾘﾃﾝ","09201","栃木県宇都宮市","","","","","999","","51","X","","3","69","69","","16","10"
"150","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000000000","10002","000","代理店","代理店","ﾀﾞｲﾘﾃﾝｹｲ","10000","群馬県","","","","","900","","51","X","","3","69","69","","16","10"
"151","04/01/2013 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","10008","0000000000","10008","000","代理店計","代理店計","","","","","","","","","","51","","","2","","","","","9"
"152","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000001000","10009","000","群馬営業部","群馬","ｸﾞﾝﾏｴｲｷﾞﾖｳﾌﾞｹｲ","10000","群馬県","","","","","199","","51","X","","1","69","69","","16","10"
"153","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000000000","10009","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","10000","群馬県","","","","","000","","51","X","","3","69","69","","16","10"
"160","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000000000","11008","000","代理店","代理店","ﾀﾞｲﾘﾃﾝ","11104","埼玉県さいたま市見沼区卸町１丁目","","","","","000","","51","X","","3","69","69","","16","10"
"161","04/01/2013 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","11889","0000000000","11889","000","代理店計","代理店計","","","","","","","","","","51","","","2","","","","","9"
"162","04/01/2017 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/29/2018 18:50:00","803001","itg36186","03/29/2018 18:50:00","803001","11889","0000000000","11889","001","本社","本社","ﾎﾝｼﾔ","13105000000","東京都文京区","","","","","001","","51","","","2","69","69","","16","9"
"165","01/01/2019 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg39895","09/04/2019 10:30:11","PVU_XP_1302","12001","0000000000","12001","000","代理店計","代理店計","/","12000000000","千葉県","","","","","000","","51","X","","3","69","69","","16","10"
"166","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000000000","12004","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","12000","千葉県","","","","","001","","51","X","","1","69","69","","16","10"
"167","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000001400","12004","000","千葉営業部","千葉営業部","ﾁﾊﾞｴｲｷﾞﾖｳﾌﾞｹｲ","12103","千葉県千葉市稲毛区穴川３丁目","","","","","360","","51","","","1","69","69","","16","10"
"168","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000001430","12004","000","千葉支店","千葉","ﾁﾊﾞｼﾃﾝｹｲ","12103","千葉県千葉市稲毛区穴川３丁目３－１７","","","","","025","","51","","","1","69","69","","16","10"
"171","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000001431","12004","000","旭支店","旭","ｱｻﾋｼﾃﾝｹｲ","12000","千葉県","","","","","210","","51","","","1","69","69","","16","10"
"179","12/28/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg36186","06/21/2022 15:04:21","PVU_XP_1302","13003","0000000000","13003","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝ ｹｲ","13117023007","東京都北区豊島７丁目","","","","","999","","51","","","3","69","69","","16","10"
"182","06/01/2021 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/29/2018 18:50:00","803001","itg36186","06/21/2022 15:04:21","PVU_XP_1302","13003","0000000001","13003","000","ファルマネット営業部","ファルマ計","ﾌｱﾙﾏﾈﾂﾄｴｲｷﾞﾖｳﾌﾞ","13117023007","東京都北区豊島７丁目３０－１７","","","","03-3913-6791","055","","51","","","3","69","69","","16","10"
"183","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000000000","13010","000","代理店","代理店","/","13204","東京都三鷹市野崎１丁目","","","","","000","","51","X","","3","69","69","","16","10"
"191","04/03/2025 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg36186","04/02/2026 13:48:34","PVU_XP_1302","13012","0000000000","13012","000","代理店計","代理店計","/","13000","東京都","","","","","000","","51","","","3","69","69","","16","10"
"192","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000000000","13013","000","代理店","代理店","/","13122","東京都葛飾区奥戸１丁目","","","","","000","","51","X","","3","69","69","","16","10"
"194","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000001113","13013","000","第一医専部","第一医専部","ﾀﾞｲｲﾁｲｾﾝﾌﾞ","13105","東京都文京区水道２丁目","","","","","049","","51","","","3","69","69","","16","10"
"195","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000001114","13013","000","第二医専部","第二医専部","ﾀﾞｲﾆｲｾﾝﾌﾞ","13122","東京都葛飾区奥戸１丁目","","","","","128","","51","","","3","69","69","","16","10"
"197","12/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/29/2018 18:50:00","803001","itg46273","02/26/2026 15:54:04","PVU_XP_1302","13013","0000001117","13013","000","病院統括部","病院","ﾋﾞﾖｳｲﾝﾄｳｶﾂﾌﾞｹｲ","13122","東京都葛飾区奥戸１丁目","","","","","180","","51","","","3","69","69","","16","10"
"198","02/01/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","03/29/2018 18:50:00","803001","itg39895","01/27/2023 10:08:14","PVU_XP_1302","13038","0000000000","13038","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","13101003002","東京都千代田区岩本町２丁目","","","","","000","","51","","","2","69","69","","16","12"
"199","11/24/2020 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg19647","11/24/2020 16:19:15","PVU_XP_1302","13049","0000000000","13049","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","13000000000","東京都","","","","","001","","51","","","1","69","69","","16","10"
"200","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","ips00023","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000000000","13078","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","13000","東京都","","","","","999","","51","X","","3","69","69","","16","10"
"201","10/02/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg46273","03/31/2026 10:20:24","PVU_XP_1302","15003","0000000000","13099","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","13000","東京都","","","","","000","","51","","","3","69","69","","16","10"
"205","01/08/2021 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","itg36186","01/15/2021 14:29:14","PVU_XP_1302","13803","0000000000","13803","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","13000000000","東京都","","","","","999","","51","","","3","69","69","","16","10"
"206","04/01/2013 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","13888","0000000000","13888","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","","","","","","","001","","51","","","3","","","","","9"
"207","04/01/2017 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","13888","0000000000","13888","001","本社","本社","ﾎﾝｼﾔ","","","","","","","001","","51","","","3","69","69","","16","9"
"208","04/01/2013 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","03/29/2018 18:50:00","803001","PVUDC","03/29/2018 18:50:00","803001","13889","0000000000","13889","000","代理店計","代理店計","","","","","","","","","","51","","","2","","","","","9"
