"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","EisaiOroshi_CD","OroshiSoshikiKaiso_LEVEL","OroshiSoshikiCode_FULL","OroshiSoshikiName_FULL","OroshiSoshikiCode_PART","OroshiSoshikiName_PART","OroshiSoshikiBottom_FLG","TEL_NO","Jusho_CD","ZIP_CD","Jusho_KJ","Data_Status"
"25","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","112","札幌中央","112","札幌中央","0","","","","","0"
"26","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","1","2","1120","札幌中央／札幌中央２（廃止）","0","札幌中央２（廃止）","1","","","","","0"
"27","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1121","札幌中央／医家向","1","医家向","1","","","","","0"
"28","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1122","札幌中央／医家向","2","医家向","1","","","","","0"
"29","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1129","札幌中央／その他","9","その他","1","","","","","0"
"30","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","141","札幌北","141","札幌北","0","","","","","0"
"31","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1411","札幌北／医家向","1","医家向","1","","","","","0"
"32","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1412","札幌北／医家向","2","医家向","1","","","","","0"
"33","04/10/2017 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/28/2017 15:55:01","PVU-1010","itg36186","03/28/2017 15:55:01","PVU-1010","1","2","1413","札幌北／医家向（２０１７．０４廃止）","3","医家向（２０１７．０４廃止）","1","","","","","0"
"34","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1419","札幌北／その他","9","その他","1","","","","","0"
"35","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","142","札幌西","142","札幌西","0","","","","","0"
"36","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1421","札幌西／医家向","1","医家向","1","","","","","0"
"37","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1422","札幌西／医家向","2","医家向","1","","","","","0"
"38","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1429","札幌西／その他","9","その他","1","","","","","0"
"39","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","160","岩見沢","160","岩見沢","0","","","","","0"
"40","07/13/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","10/20/2016 14:45:14","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1600","岩見沢／医家向","0","医家向","1","","","","","0"
"41","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1609","岩見沢／その他","9","その他","1","","","","","0"
"42","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","180","苫小牧","180","苫小牧","0","","","","","0"
"43","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1801","苫小牧／医家向","1","医家向","1","","","","","0"
"44","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1802","苫小牧／医家向","2","医家向","1","","","","","0"
"45","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1809","苫小牧／その他","9","その他","1","","","","","0"
"46","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","190","名寄","190","名寄","0","","","","","0"
"47","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1900","名寄／医家向","0","医家向","1","","","","","0"
"48","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","1909","名寄／その他","9","その他","1","","","","","0"
"49","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","201","旭川第一","201","旭川第一","0","","","","","0"
"50","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2010","旭川第一／医家向","0","医家向","1","","","","","0"
"51","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2019","旭川第一／その他","9","その他","1","","","","","0"
"52","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","202","旭川第二","202","旭川第二","0","","","","","0"
"53","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2021","旭川第二／医家向","1","医家向","1","","","","","0"
"54","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2022","旭川第二／医家向","2","医家向","1","","","","","0"
"55","07/13/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2023","旭川第二／医家向","3","医家向","1","","","","","0"
"56","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2029","旭川第二／その他","9","その他","1","","","","","0"
"57","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","230","稚内","230","稚内","0","","","","","0"
"58","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2300","稚内／医家向","0","医家向","1","","","","","0"
"59","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2309","稚内／その他","9","その他","1","","","","","0"
"60","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","260","北見","260","北見","0","","","","","0"
"61","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2601","北見／医家向","1","医家向","1","","","","","0"
"62","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2602","北見／医家向","2","医家向","1","","","","","0"
"63","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2609","北見／その他","9","その他","1","","","","","0"
"64","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","280","滝川","280","滝川","0","","","","","0"
"65","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2801","滝川／医家向","1","医家向","1","","","","","0"
"66","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2802","滝川／医家向","2","医家向","1","","","","","0"
"67","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","2809","滝川／その他","9","その他","1","","","","","0"
"68","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","300","室蘭","300","室蘭","0","","","","","0"
"69","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","3000","室蘭／医家向","0","医家向","1","","","","","0"
"70","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","3009","室蘭／その他","9","その他","1","","","","","0"
"71","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","350","釧路","350","釧路","0","","","","","0"
"72","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","3501","釧路／医家向","1","医家向","1","","","","","0"
"73","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","3502","釧路／医家向","2","医家向","1","","","","","0"
"74","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","3509","釧路／その他","9","その他","1","","","","","0"
"75","04/10/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","401","函館","401","函館","0","","","","","0"
"76","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg19647","11/29/2018 08:45:26","PVU_XP_1102","1","2","4010","函館第一／医家向（２０１８．１１廃止）","0","医家向（２０１８．１１廃止）","1","","","","","2"
"77","04/10/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4019","函館／その他","9","その他","1","","","","","0"
"78","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","402","函館第二","402","函館第二","0","","","","","0"
"79","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4020","函館第二／医家向","0","医家向","1","","","","","0"
"80","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4029","函館第二／その他","9","その他","1","","","","","0"
"81","04/10/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","04/10/2023 14:42:28","PVU_XP_1102","1","1","403","函館第三（２０２３．０４廃止）","403","函館第三（２０２３．０４廃止）","0","","","","","2"
"82","04/10/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","04/10/2023 14:42:28","PVU_XP_1102","1","2","4031","函館第三（２０２３．０４廃止）／医家向","1","医家向","1","","","","","2"
"83","04/10/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","04/10/2023 14:42:28","PVU_XP_1102","1","2","4032","函館第三（２０２３．０４廃止）／医家向","2","医家向","1","","","","","2"
"84","04/10/2023 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","04/10/2023 14:42:28","PVU_XP_1102","1","2","4039","函館第三（２０２３．０４廃止）／その他","9","その他","1","","","","","2"
"85","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","1","1","407","（廃止）","407","（廃止）","0","","","","","0"
"86","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","1","2","407X","（廃止）／道南エリア","X","道南エリア","1","","","","","0"
"87","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","460","小樽","460","小樽","0","","","","","0"
"88","04/14/2021 00:00:00","12/31/9999 00:00:00","0","0","0","itg39895","09/25/2017 14:46:55","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4601","小樽／医家向","1","医家向","1","","","","","0"
"89","04/14/2021 00:00:00","12/31/9999 00:00:00","0","0","0","itg39895","09/25/2017 14:46:55","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4602","小樽／医家向","2","医家向","1","","","","","0"
"90","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4609","小樽／その他","9","その他","1","","","","","0"
"91","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","1","1","470","（廃止）","470","（廃止）","0","","","","","0"
"92","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","1","2","470X","（廃止）／仙台営業所","X","仙台営業所","1","","","","","0"
"93","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","480","帯広","480","帯広","0","","","","","0"
"94","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4801","帯広／医家向","1","医家向","1","","","","","0"
"95","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4802","帯広／医家向","2","医家向","1","","","","","0"
"96","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","4809","帯広／その他","9","その他","1","","","","","0"
"97","05/06/2022 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg39895","04/27/2022 11:40:10","PVU_XP_1102","2","1","02","札幌支店","02","札幌支店","1","011-215-8410","01101002016","0600042","北海道札幌市中央区大通西１６丁目２－６","2"
"98","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","04","札幌厚別支店","04","札幌厚別支店","1","011-867-2525","","0030030","札幌市白石区流通センター３丁目１－５　　","0"
"99","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","05","札幌豊平支店","05","札幌豊平支店","1","011-862-4715","","0030030","札幌市白石区流通センター３丁目１－５    ","0"
"100","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","06","恵庭支店","06","恵庭支店","1","0123-32-5161","","0611405","恵庭市戸磯３４５－４　　　　　　　　　　","0"
"101","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","08","札幌西支店","08","札幌西支店","1","011-671-5611","","0630830","札幌市西区発寒１０条３丁目１－１　　　　","0"
"102","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","09","札幌北支店","09","札幌北支店","1","011-671-5611","","0630830","札幌市西区発寒１０条３丁目１－１　　　　","0"
"103","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","10","岩見沢支店","10","岩見沢支店","1","0126-22-5161","","0680833","岩見沢市志文町９５７番５　　　　　　　　","0"
"104","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","11","小樽支店","11","小樽支店","1","0134-25-6222","","0470008","小樽市築港６番１号　　　　　　　　　　　","0"
"105","02/24/2026 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg45886","02/10/2026 13:20:32","PVU_XP_1102","2","1","12","旭川支店","12","旭川支店","1","0166-47-5161","01204","0700030","北海道旭川市宮下通１２丁目３－３","1"
"106","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","14","名寄支店","14","名寄支店","1","01654-3-5161","","0960036","名寄市西６条北１１丁目５８－２１　　　　","0"
"107","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","15","稚内支店","15","稚内支店","1","0162-24-4121","","0970001","稚内市末広２丁目８－１８　　　　　　　　","0"
"108","05/07/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg39895","04/25/2024 16:07:25","PVU_XP_1102","2","1","16","空知支店","16","空知支店","1","0125-53-3121","01226","0730167","北海道砂川市西７条北２２丁目１２２番９","2"
"109","01/20/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/20/2014 13:56:30","PVU-1010","itg34676","01/20/2014 13:56:30","PVU-1010","2","1","17","留萌支店","17","留萌支店","1","0164-43-7533","","0770011","留萌市東雲町２丁目２５　　　　　　　　　","0"
